compressor_diameter_mm,compressor_blade_count,combustor_length_mm,combustor_outer_diameter_mm,combustor_inner_diameter_mm,combustor_liner_thickness_mm,combustor_num_injectors,turbine_blade_count,turbine_hub_tip_ratio,nozzle_exit_diameter_mm,rpm,lattice_cell_size_mm,lattice_density,compressor_pressure_ratio,compressor_efficiency,turbine_inlet_temp_K,turbine_efficiency,mass_flow_kg_s,inlet_pressure_recovery,combustor_pressure_drop_fraction,combustion_efficiency,nozzle_discharge_coefficient,nozzle_isentropic_efficiency,combustor_air_fuel_ratio,feasible,thrust_error_N,tsfc_kg_N_s,thermal_efficiency,fuel_flow_kg_s,compressor_power_W,thrust_to_weight,thrust_N_corrected,exhaust_temp_K_corrected,exhaust_velocity_m_s_corrected,total_mass_kg
66.0,12,90.0,100.0,60.0,1.2,4,19,0.65,50.0,108000.0,3.0,0.35,3.1342441709994033,0.8499504384,942.8239201308364,0.8736230970283516,0.22241253822319942,0.9757654245846893,0.04173882285419009,0.9631649005533607,0.9756394811261881,0.9504210006858331,,True,0.8187657363436074,3.3115852324436185e-05,0.15733858500501097,0.0033442480946355947,29248.10683713136,8.128035535971893,100.81876573634361,739.1742705619042,446.55854037520146,1.228910093710441
66.0,12,90.0,100.0,60.0,1.2,4,19,0.65,50.0,108000.0,3.0,0.35,2.388254968174753,0.8495421150392954,1056.5541061821484,0.8652895010092039,0.21981554027577638,0.9857652641363905,0.043414159410900106,0.962569631570632,0.9729232162960927,0.9543861685809933,,True,2.8993515148580826,4.04045290248496e-05,0.1317594797798348,0.004240660412522336,21160.22959731966,8.38055254232908,102.89935151485808,877.1803968629182,458.70749097030637,1.228910093710441
66.0,12,90.0,100.0,60.0,1.2,4,19,0.65,50.0,108000.0,3.0,0.35,4.293226776137659,0.837279002256565,936.889706365774,0.8774334820991563,0.2123660780714555,0.9829512758380874,0.04160289572037745,0.9566950269904613,0.9745856719464487,0.9553409451234628,,True,0.22860594810417467,2.6958188195684038e-05,0.18243793386717538,0.0026868245641508176,37925.565377263316,7.988830924865751,100.22860594810417,683.4421432603724,465.18795376693487,1.228910093710441
66.0,12,90.0,100.0,60.0,1.2,4,19,0.65,50.0,108000.0,3.0,0.35,2.3163150343387935,0.8479497234200513,1023.0351478496641,0.857294861966801,0.2215174556369554,0.9778183707193124,0.04528299487036723,0.9554826923905322,0.9734335746051218,0.9358485005245161,,True,2.7088689301044298,4.2785692962238905e-05,0.11648910078723021,0.00415065141260508,20520.030259077543,7.905645388054935,97.29113106989557,859.7770856665479,430.82416739111284,1.228910093710441
66.0,12,90.0,100.0,60.0,1.2,4,19,0.65,50.0,108000.0,3.0,0.35,4.053692253622814,0.8431524048231043,989.3092595517762,0.8757990116061919,0.2021869927536474,0.979895778657423,0.040906667950649026,0.9623268529650235,0.9720703557200284,0.9375846519309522,,True,2.1416867495901215,3.052416065071693e-05,0.19091777202661156,0.003146144786233764,34143.06860528352,8.180793831413368,102.14168674959012,732.2964283148748,498.1597286252098,1.228910093710441
66.0,12,90.0,100.0,60.0,1.2,4,19,0.65,50.0,108000.0,3.0,0.35,4.5773760830297086,0.8455719511141497,943.5543092003018,0.8788951574791153,0.20937177070748966,0.9811819185680279,0.043897322169069074,0.9483216519254731,0.9823513033890188,0.9481227829528306,,True,1.7565484640248172,2.6289626861074854e-05,0.19598258269506988,0.002690968737808136,39033.320919786,8.106673626150982,101.75654846402482,680.0553012006793,479.2790303516437,1.228910093710441
66.0,12,90.0,100.0,60.0,1.2,4,19,0.65,50.0,108000.0,3.0,0.35,2.0949541525826842,0.8491133876376076,1105.2020103366544,0.8724816799208102,0.2146264961534648,0.9810837514428123,0.041081330585003586,0.9626588125360642,0.9719662851105086,0.9456752188776341,,True,1.9683260694867784,4.721431511727245e-05,0.11127536598356133,0.004657756009414769,17222.123650965277,7.998393994019988,98.03167393051322,945.5414811970186,447.13980063214274,1.228910093710441
66.0,12,90.0,100.0,60.0,1.2,4,19,0.65,50.0,108000.0,3.0,0.35,2.851280343001857,0.8479162682603104,974.9024445041011,0.8661788331917669,0.2126731647942983,0.9755951911820229,0.0421090255834784,0.9661028195614159,0.9768700225101009,0.9527773375528805,,True,2.847159424974791,3.644443164515918e-05,0.14421842787445527,0.003536856427186623,25349.38216020457,7.855564132673867,97.15284057502521,780.7711305887813,448.9464948556108,1.228910093710441
66.0,12,90.0,100.0,60.0,1.2,4,19,0.65,50.0,108000.0,3.0,0.35,4.1446258643987175,0.8402521117202024,946.9155171615296,0.8658488301950685,0.2070573639878358,0.9771894029211567,0.03723482675440553,0.9732707466024977,0.9678835121372572,0.9444474782534935,,True,2.498092943631164,2.8157977312002683e-05,0.17669543616854247,0.0027603448006441648,35763.02208659814,7.772004616899654,97.50190705636884,699.2161158387979,463.6680939612154,1.228910093710441
66.0,12,90.0,100.0,60.0,1.2,4,19,0.65,50.0,108000.0,3.0,0.35,3.2988047916061007,0.8448547991438212,979.4912961535762,0.8655043326117619,0.20499027517455568,0.9791024461527373,0.04001652534349918,0.9570709739148271,0.9677527777514491,0.9572180060815259,,True,2.63114560475816,3.3442155331698536e-05,0.16495094217771217,0.003263103396189933,28553.9243515777,7.845076199140997,97.36885439524184,758.4744233337972,467.0753442374747,1.228910093710441
