compressor_pressure_ratio,compressor_efficiency,compressor_diameter_mm,compressor_blade_count,combustor_length_mm,combustor_outer_diameter_mm,combustor_inner_diameter_mm,combustor_liner_thickness_mm,combustor_num_injectors,combustor_air_fuel_ratio,turbine_inlet_temp_K,turbine_efficiency,turbine_blade_count,turbine_hub_tip_ratio,nozzle_exit_diameter_mm,mass_flow_kg_s,rpm,lattice_cell_size_mm,lattice_density,thrust_N,specific_thrust,fuel_flow_kg_s,tsfc_kg_N_s,exhaust_velocity_m_s,exhaust_temp_K,compressor_power_W,thermal_efficiency,total_mass_kg,thrust_to_weight,lattice_surface_area_ratio,is_valid,n_warnings
4.418870637,0.8235935372,70.30179063,13,129.2421195,156.3643158,50.42539959,1.824678986,6,57.97159649,1143.57044,0.8208903555,16,0.8005753374,76.3429054,0.1676381276,120236.8019,10.61951158,0.3167576337,95.1476409,567.5775688,0.003268971725,3.44E-05,556.7214076,845.4543324,31174.91849,0.18841971,0.8346711537,11.62020027,2.975136451,TRUE,1
2.280321749,0.784960081,140.954809,15,89.07128966,134.6781673,73.12179462,1.594419094,4,73.78935534,981.0383238,0.853651515,20,0.717949138,38.28520199,0.2401157437,79733.20787,11.45269787,0.3441499486,95.14781023,396.2581077,0.004139043178,4.35E-05,389.5432775,828.5916357,23524.98286,0.1041252611,0.6895971946,14.06482407,3.016224923,TRUE,0
3.23228498,0.8476356528,62.61350307,10,117.8544493,119.834226,52.2900397,1.794849773,10,62.68120916,1057.208797,0.7846220256,12,0.6535291523,60.71739039,0.1939021472,64387.10393,13.50621838,0.5233352493,95.14862024,490.7043146,0.003565210128,3.75E-05,481.8448047,835.9339827,26380.10386,0.1495292286,0.7314166398,13.26076721,3.285002874,TRUE,0
2.462484544,0.7668736206,63.93992315,19,106.6028551,125.7422006,78.84673694,1.253340365,11,45.30606999,1171.317726,0.8097020771,21,0.7625554302,40.64599732,0.1972035689,61608.52556,5.080977627,0.3724224773,95.15026769,482.4976963,0.004436739298,4.66E-05,471.8811856,976.2038634,21868.76275,0.1176739454,0.591475522,16.39850403,3.058633716,TRUE,1
4.033789783,0.7566671265,127.145214,16,58.70266858,118.5938612,77.10038645,0.8055647053,8,68.20656411,1189.565131,0.7663774518,15,0.6999715814,56.58326998,0.1763208401,141666.9069,13.48542524,0.4464361827,95.15091739,539.6464612,0.0036719437,3.86E-05,528.6374008,903.4473582,33036.8254,0.1592855578,0.598804874,16.19789748,3.169654274,TRUE,1
4.844285721,0.7990472021,139.3861494,15,115.5913178,143.1563398,71.24773841,1.697466528,10,73.51594424,1106.379578,0.8270819391,20,0.6359139866,62.11330503,0.1728113311,118907.0485,13.7811484,0.3214230891,95.15117377,550.6072615,0.003077249569,3.23E-05,540.9741406,798.3021928,35672.16569,0.1945044245,0.8487855772,11.42739268,2.982134634,TRUE,1
3.819858999,0.7026000825,69.7598811,14,131.231617,107.3728139,59.50192556,1.792049811,5,44.64599458,979.4244142,0.8208450939,15,0.6830929684,69.56407357,0.2472451324,67717.95788,6.666289886,0.1626534649,95.15192039,384.8485083,0.003578371383,3.76E-05,379.3580703,749.4409177,47545.54859,0.1172959513,0.5773376271,16.80036385,2.743980197,TRUE,0
2.887974348,0.8411971655,133.0670521,19,141.6616404,120.48996,68.36072586,1.373978924,4,47.01785897,1141.922081,0.781859651,11,0.6402210911,64.83391662,0.1845026094,104450.7553,12.56999082,0.2102452606,95.15410117,515.7330917,0.003931204962,4.13E-05,504.9735977,922.7391642,22480.91473,0.1421255128,0.7894065208,12.2873377,2.815367891,TRUE,1
3.556433999,0.7834438947,60.59237172,12,147.9554554,109.7640214,40.73519794,1.170980988,5,61.76230487,1079.4938,0.7627437523,18,0.6054159328,70.61845896,0.2005877809,79247.90182,4.845951991,0.4439993126,95.15530232,474.3823472,0.003672804449,3.86E-05,465.8524901,843.3355549,32395.4362,0.1403411909,0.773737157,12.53633337,3.165998969,TRUE,0
2.373928878,0.8389450981,80.2162355,18,138.8803887,87.09222822,41.50735402,1.376956939,5,45.80255569,1138.038128,0.8542284267,21,0.7488071205,44.84533491,0.1930761213,96205.29014,11.00155357,0.4540813867,95.15557866,492.839705,0.004231999962,4.45E-05,482.2689409,950.4455173,18674.18843,0.1260896507,0.6317108559,15.35489698,3.18112208,TRUE,1
